Property,Value
Dataset,Mental Disorder Classification (Kaggle · Sarkar 2023)
Task,Binary: BD (1) vs MDD (0) — outpatient psychiatric intake only
Base model,MentalBERT (mental/mental-bert-base-uncased) · fine-tuned 3 epochs · AdamW lr=2e-5
Demographic data,SYNTHETIC PROXIES — Kaggle file has no demographics. Gender/age injected per WHO priors. Must be replaced before clinical deployment.
ECE (overall),0.0097
ECE (max by gender),0.0118
Routing × gender p,p=0.362 (chi-squared test on error vs gender)
Dem. parity diff,+0.0169 (PsychRoute system)
Eq. odds diff,+0.0443 (PsychRoute system)
Disparate impact,0.8942  (passes 80% rule)
Impossibility,Calibration + equalized odds simultaneously infeasible (Chouldechova 2017). Calibration prioritised at prediction level; FairLinUCB corrects outcomes at routing level.
Fairness norm,Rawlsian maximin / substantive EO. δ=0.05 tolerance band on both error and cost parity. Dual logs disclosed.
Expert accuracy,h_0 = 0.93 on escalated cases (SCID). Justified by conditional accuracy analysis: model degrades to 60–70% on Q4 uncertainty.
SHAP fidelity,Surrogate ρ=0.558 vs MentalBERT (Spearman). TF-IDF logistic surrogate — scaffolding only.
Accuracy stability,Mean 0.9834 (SD 0.0022) over 200 paired bootstrap replicates
Scope,"Outpatient BD/MDD triage. NOT for psychosis, paediatric, crisis, or non-English presentations."
Update cadence,Quarterly temperature re-scaling; annual fairlearn audit.
Transparency,"Full μ_g, ν_g logs disclosed to ethics board. All clinician overrides logged."
